sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;AYT;Türk Dili ve Edebiyatı;Cumhuriyet Dönemi;Edebiyatımızda "Yedi Meşaleciler" topluluğunun şiiri ömür boyu sadık kalan tek şairi kimdir?;Ziya Osman Saba;Yaşar Nabi Nayır;Sabri Esat Siyavuşgil;Cevdet Kudret;Kenan Hulusi Koray;A;Orta
LGS;Sayısal Bölüm;Fen Bilimleri;DNA ve Genetik Kod;DNA molekülünün hasar görmesi veya baz eşleşmelerinin kalıcı olarak bozulması olayına ne ad verilir?;Modifikasyon;Mutasyon;Adaptasyon;Doğal Seçilim;;B;Kolay
LGS;Sayısal Bölüm;Fen Bilimleri;Maddenin Halleri;Katı bir maddenin erimeden doğrudan gaz haline geçmesi olayına ne ad verilir?;Kırağılaşma;Süblimleşme;Buharlaşma;Yoğuşma;;B;Kolay
LGS;Sayısal Bölüm;Matematik;Çarpanlar ve Katlar;Aralarında asal olan iki pozitif tam sayının en büyük ortak böleni (EBOB) her zaman kaçtır?;0;1;Sayıların çarpımı;Sayıların toplamı;;B;Kolay
LGS;Sayısal Bölüm;Matematik;Köklü İfadeler;Kök 45 sayısı aşağıdakilerden hangisine eşittir?;3 Kök 5;5 Kök 3;9 Kök 5;2 Kök 10;;A;Kolay
LGS;Sözel Bölüm;Türkçe;Sözcükte Anlam;Aşağıdaki cümlelerin hangisinde zıt (karşıt) anlamlı sözcükler bir arada kullanılmıştır?;İyi günde kötü günde her zaman yanımdaydı;Uzun ve yorucu bir yolculuğun ardından eve ulaştık;Sessizce yerinden kalkıp kapıya doğru yürüdü;Eski kitaplarını kütüphaneye bağışlamaya karar verdi;;A;Kolay
LGS;Sözel Bölüm;Türkçe;Cümle Bilgisi;Aşağıdaki cümlelerin hangisinde bir "benzetme" söz konusudur?;Çocuk tıpkı bir karınca gibi durmadan çalışıyordu;Yarın sabah erkenden yola çıkacaklarını söylediler;Bu yıl kış ayları geçen yıla göre daha soğuk geçecek;Ödevlerini bitirmeden sakın dışarı çıkma;;A;Kolay
LGS;Sözel Bölüm;T.C. İnkılap Tarihi;Milli Mücadele;Milli Mücadele Dönemi'nde imzalanan ve Doğu Cephesi'ni tamamen kapatan antlaşma hangisidir?;Gümrü Antlaşması;Moskova Antlaşması;Kars Antlaşması;Ankara Antlaşması;;A;Kolay
LGS;Sözel Bölüm;Din Kültürü ve Ahlak Bilgisi;Kader İnancı;Allah'ın canlılara yemek , içmek ve faydalanmak için verdiği her türlü nimete ne ad verilir?;Ömür;Ecel;Rızık;Tevekkül;;C;Kolay
LGS;Sözel Bölüm;İngilizce;Adventures;Which of the following extreme sport is performed in the air?;Skydiving;Rafting;Caving;Trekking;;A;Kolay
LGS;Sözel Bölüm;Türkçe;Noktalama İşaretleri;Kelimelerin arasında "ve , ile , ila" anlamlarını vermek için hangi noktalama işareti kullanılır?;Kısa çizgi;Uzun çizgi;Eğik çizgi;Noktalı virgül;;A;Kolay
KPSS;Genel Yetenek;Türkçe;Sözcük Anlamı;Aşağıdaki cümlelerin hangisinde bir "nicel" anlamlı sözcük kullanılmıştır?;Çok derin bir felsefi düşünceye sahipti;Sınıfta bugün oldukça yüksek sesle konuştu;Evlerinin bahçesinde çok geniş bir havuz vardı;Onun çok tatlı ve cana yakın bir köpeği var;Sınav soruları oldukça kaliteli hazırlanmış;C;Orta
KPSS;Genel Yetenek;Matematik;Üslü Sayılar;3^(x-2) = 27 olduğuna göre x değeri aşağıdakilerden hangisine eşittir?;3;4;5;6;7;C;Kolay
KPSS;Genel Yetenek;Matematik;Kâr Zarar Problemleri;Maliyet fiyatı 100 TL olan bir ürün yüzde 30 kârla kaç TL'ye satılır?;110;120;130;140;150;C;Kolay
KPSS;Genel Kültür;Tarih;Osmanlı Kültür ve Medeniyeti;Osmanlı Devleti'nde sadrazamın padişah sefere çıkmadığında ordunun başında sefere çıktığı unvana ne ad verilir?;Serdar-ı Ekrem;Kaptan-ı Derya;Kethüda;Nişancı;Reisülküttab;A;Orta
KPSS;Genel Kültür;Tarih;İnkılap Tarihi;Mustafa Kemal Atatürk'ün nüfusa kayıtlı olduğu il (kütüğü) aşağıdakilerden hangisidir?;İstanbul;Ankara;Selanik;Gaziantep;İzmir;D;Kolay
KPSS;Genel Kültür;Coğrafya;Türkiye'nin Yerşekilleri;Aşağıdaki ovalardan hangisi oluşum yönünden bir "Karstik (Polye) Ovası" özelliğidir?;Çukurova;Bafra Ovası;Elmalı Ovası;Konya Ovası;Iğdır Ovası;C;Orta
KPSS;Genel Kültür;Coğrafya;Türkiye'de Enerji;Türkiye'de rüzgâr enerjisi ile elektrik üreten ilk santral hangi ilimizde kurulmuştur?;İzmir;Aydın;Balıkesir;Çanakkale;Muğla;A;Orta
KPSS;Genel Kültür;Vatandaşlık;Anayasa Hukuku;1982 Anayasası'na göre bir siyasi partinin kapatılması davasına bakmakla görevli mahkeme hangisidir?;Yargıtay;Danıştay;Anayasa Mahkemesi;Uyuşmazlık Mahkemesi;Askeri Yargıtay;C;Kolay
KPSS;Genel Kültür;Vatandaşlık;İdare Hukuku;Aşağıdakilerden hangisi devlet kamu tüzel kişiliğine sahip merkezden yönetim kuruluşlarından biridir?;Belediyeler;Köyler;Üniversiteler;Bakanlıklar;TRT;D;Orta
KPSS;Genel Kültür;Vatandaşlık;Genel Kültür;"İstiklal Marşı" şairimiz Mehmet Akif Ersoy , İstiklal Marşı'nı hangi orduya ithaf etmiştir?;Türk Milletine;Türk Polisine;Kahraman Türk Ordusuna;TBMM Üyelerine;Mustafa Kemal Paşa'ya;C;Kolay
