sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
LGS;Sözel Bölüm;Din Kültürü ve Ahlak Bilgisi;Kader İnancı;Yüce Allah'ın her şeye gücünün yetmesini ifade eden sonsuz iradesine ne ad verilir?;Cüzi İrade;Külli İrade;Tevekkül;Rızık;;B;Kolay
LGS;Sözel Bölüm;İngilizce;In The Kitchen;Which of the following means "to cut something into small and square pieces"?;Dice;Boil;Fry;Bake;;A;Kolay
LGS;Sözel Bölüm;Türkçe;Fiilimsiler;Aşağıdaki cümlelerin hangisinde isim-fiil (mastar) kullanılmıştır?;Koşan çocuk aniden düştü;Gülmek insana her zaman çok yakışır;Bunu duyup hemen yanımıza geldi;Kırılan bardağı çöpe attı;;B;Kolay
KPSS;Genel Yetenek;Türkçe;Sözcük Anlamı;Bir sözcüğün akla gelen ilk ve en temel anlamına ne ad verilir?;Mecaz Anlam;Terim Anlam;Gerçek (Temel) Anlam;Yan Anlam;Soyut Anlam;C;Kolay
KPSS;Genel Yetenek;Matematik;Köklü Sayılar;Kök 0,16 ifadesinin değeri aşağıdakilerden hangisine eşittir?;0,04;0,4;4;1,6;16;B;Kolay
KPSS;Genel Yetenek;Matematik;Faiz Problemleri;Yıllık yüzde 20 faiz oranıyla bankaya yatırılan 1000 TL para 1 yıl sonra kaç TL faiz getirisi sağlar?;100;150;200;250;300;C;Kolay
KPSS;Genel Kültür;Tarih;Osmanlı Yenileşme Dönemi;Osmanlı Devleti'nde ilk geçici elçilikler hangi dönemde açılmıştır?;Lale Devri;Tanzimat Dönemi;I. Meşrutiyet;II. Mahmut Dönemi;Duraklama Dönemi;A;Orta
KPSS;Genel Kültür;Tarih;Atatürk Dönemi;TBMM tarafından Mustafa Kemal Atatürk'e "Müşerreflik (Gazilik)" unvanı ve "Mareşallik" rütbesi hangi savaştan sonra verilmiştir?;I. İnönü Savaşı;Sakarya Meydan Muharebesi;Büyük Taarruz;Çanakkale Savaşı;II. İnönü Savaşı;B;Kolay
KPSS;Genel Kültür;Coğrafya;Türkiye'nin Ovaları;Aşağıdaki ovalardan hangisi Türkiye'nin en büyük delta ovası konumundadır?;Bafra Ovası;Çukurova;Çarşamba Ovası;Konya Ovası;Gediz Ovası;B;Kolay
KPSS;Genel Kültür;Coğrafya;Türkiye'de Hayvancılık;Türkiye'de bitki örtüsünün maki ve antropojen bozkır olduğu engebeli alanlarda en çok beslenen hayvancılık türü hangisidir?;Kıl Keçisi;Büyükbaş;İpek böcekçiliği;Kümes hayvancılığı;Arıcılık;A;Kolay
KPSS;Genel Kültür;Vatandaşlık;Anayasa Hukuku;1982 Anayasası'nda yapılan bir anayasa değişikliğinin cumhurbaşkanı tarafından halkoyuna (referanduma) sunulması süreci hangi organın denetimindedir?;Anayasa Mahkemesi;Yargıtay;Yüksek Seçim Kurulu (YSK);TBMM Başkanlığı;Danıştay;C;Orta
KPSS;Genel Kültür;Vatandaşlık;İdare Hukuku;Türkiye'de en yüksek devlet memuru aşağıdakilerden hangisidir?;Cumhurbaşkanı İdari İşler Başkanı;Bakan Yardımcısı;Vali;TBMM Genel Sekreteri;Anayasa Mahkemesi Genel Sekreteri;A;Orta
KPSS;Genel Kültür;Vatandaşlık;Uluslararası Güncel Bilgiler;Avrupa Birliği'nin resmi para birimi olan Euro'yu kullanmayan birlik üyesi ülke hangisidir?;Almanya;Fransa;İtalya;İsveç;İspanya;D;Orta
